station,date,temp_c,wind_speed_kph,visibility_km,weather_code
KATL,2025-03-07 05:52:00,5.6,111.6,16.1,Clear
KATL,2025-03-07 06:00:00,5.6,111.6,16.0,Clear
KATL,2025-03-07 06:52:00,5.0,54.0,16.1,Clear
KATL,2025-03-07 07:52:00,4.4,54.0,16.1,Clear
KATL,2025-03-07 08:52:00,5.0,93.6,16.1,Clear
KATL,2025-03-07 09:00:00,5.0,93.6,16.0,Clear
KATL,2025-03-07 09:52:00,4.4,93.6,16.1,Clear
KATL,2025-03-07 10:52:00,3.9,111.6,16.1,Clear
KATL,2025-03-07 11:52:00,3.9,93.6,16.1,Clear
KATL,2025-03-07 12:00:00,3.9,93.6,16.0,Clear
KATL,2025-03-07 12:52:00,5.0,129.6,16.1,Clear
KATL,2025-03-07 13:52:00,8.9,93.6,16.1,Clear
KATL,2025-03-07 14:52:00,11.1,75.6,16.1,Clear
KATL,2025-03-07 15:00:00,11.1,75.6,16.0,Clear
KATL,2025-03-07 15:52:00,13.3,0.0,16.1,Clear
KATL,2025-03-07 16:52:00,15.0,183.6,16.1,Clear
KATL,2025-03-07 17:52:00,16.1,0.0,16.1,Clear
KATL,2025-03-07 18:00:00,16.1,0.0,16.0,Clear
KATL,2025-03-07 18:52:00,17.8,165.6,16.1,Clear
KATL,2025-03-07 19:52:00,18.9,277.2,16.1,Clear
KATL,2025-03-07 20:52:00,19.4,205.2,16.1,Clear
KATL,2025-03-07 21:00:00,19.4,205.2,16.0,Clear
KATL,2025-03-07 21:52:00,19.4,165.6,16.1,Clear
KATL,2025-03-07 22:52:00,18.9,165.6,16.1,Clear
KATL,2025-03-07 23:52:00,17.2,129.6,16.1,Clear
KATL,2025-03-08 00:00:00,17.2,129.6,16.0,Clear
KATL,2025-03-08 00:52:00,16.1,93.6,16.1,Clear
KATL,2025-03-08 01:52:00,15.0,93.6,16.1,Clear
KATL,2025-03-08 02:52:00,13.9,111.6,16.1,Clear
KATL,2025-03-08 03:00:00,13.9,111.6,16.0,Clear
